stock,Quarter,Revenue,Gross Profit,Operating Income,Pre-Tax Income,Income After Taxes,Net Income,EBITDA,EBIT,Shares Outstanding,Earnings Per Share(EPS),Total Assets,Total Liabilities,Shareholder Equity,Net Cash Flow,Current Ratio,Gross Margin,Net Profit Margin,EBITA Margin,ROE - Return On Equity,ROA - Return On Assets,ROI - Return On Investment,Free Cash Flow Per Share
AAPL,12/31/2023,119575,54855,40373,40323,33916,33916,43221,40373,15577,2.18,353514,279414,74100,11237,1.0725,45.875,28.3638,33.7637,45.7706,9.594,20.0463,2.4076
AAPL,9/30/2023,89498,40427,26969,26998,22956,22956,29622,26969,15813,1.47,352583,290437,62146,839,0.988,45.1708,25.6497,30.1336,36.9388,6.5108,14.582,1.217
AAPL,6/30/2023,81797,36413,22998,22733,19881,19881,26050,22998,15775,1.26,335038,274764,60274,2769,0.9816,44.5163,24.3053,28.116,32.9844,5.934,12.5555,1.5557
AAPL,3/31/2023,94836,41976,28318,28382,24160,24160,31216,28318,15847,1.52,332160,270002,62158,5155,0.9404,44.2617,25.4756,29.86,38.8687,7.2736,15.176,1.6312
AAPL,12/31/2022,117154,50332,36016,35623,29998,29998,38932,36016,15956,1.88,346747,290020,56727,-3003,0.938,42.9623,25.6056,30.7424,52.8813,8.6513,19.186,1.8939
AAPL,9/30/2022,90146,38095,24894,24657,20721,20721,27759,24894,16326,1.29,352755,302083,50672,-3884,0.8794,42.2592,22.9861,27.6152,40.8924,5.874,13.8481,1.2547
AAPL,6/30/2022,82959,42559,23076,23066,19442,19442,25881,23076,16262,1.2,336309,278202,58107,-319,0.8646,43.2563,23.4357,27.8162,33.459,5.781,12.7232,1.3253
AAPL,3/31/2022,97278,54243,29979,30139,25010,25010,32716,29979,16403,1.52,350662,283263,67399,-9450,0.9268,43.7499,25.7098,30.8179,37.1074,7.1322,14.6496,1.5828
AAPL,12/31/2021,123945,35174,41488,41241,34630,34630,44186,41488,16519,2.1,381191,309259,71932,2701,1.0378,43.7638,27.9398,33.4729,48.1427,9.0847,19.3939,2.6734
AAPL,9/30/2021,83360,35255,23786,23248,20551,20551,26775,23786,16865,1.23,351002,287912,63090,653,1.0746,42.1953,24.6533,28.5341,32.5741,5.855,11.9347,0.9843
AAPL,6/30/2021,81434,38079,24126,24369,21744,21744,26958,24126,16782,1.3,329840,265560,64280,-4730,1.0619,43.2927,26.7014,29.6265,33.827,6.5923,12.7882,1.1618
AAPL,3/31/2021,89584,44328,27503,28011,23630,23630,3030,27503,16929,1.4,337158,267980,69178,2287,1.1417,42.5065,26.3775,30.7008,34.1583,7.0086,13.2887,1.305
AAPL,12/31/2020,111439,24689,33534,33579,28755,28755,36200,33534,17144,1.68,354054,287830,66224,-2070,1.163,39.7778,25.8034,30.0918,43.4208,8.1216,17.3741,2.0605
AAPL,9/30/2020,64698,22680,14775,14901,12673,12673,17477,14775,17528,0.74,323888,258549,65339,4750,1.3636,38.1604,19.5879,22.8369,19.3958,3.9128,7.7272,1.0526
AAPL,6/30/2020,59685,22370,13091,13137,11253,11253,15843,13091,17419,0.65,317344,245062,72282,-8010,1.4695,37.9995,18.854,21.9335,15.5682,3.546,6.7655,0.8701
AAPL,3/31/2020,58313,35217,12853,13135,11249,11249,15639,12853,17619,0.64,320400,241975,78425,1384,1.496,38.3619,19.2907,22.0414,14.3436,3.5109,6.7154,0.6684
AAPL,12/31/2019,91819,24313,25569,25918,22236,22236,28385,25569,17818,1.25,340618,251087,89531,-8559,1.5978,38.3548,24.2172,27.8472,24.8361,6.5281,12.1768,1.5944
AAPL,9/30/2019,64040,20227,15625,16127,13686,13686,18804,15625,18596,0.77,338516,248028,90488,-1927,1.5401,37.9653,21.371,24.3988,15.1247,4.0429,7.5076,0.8982
AAPL,6/30/2019,53809,21821,11544,11911,10044,10044,14477,11544,18406,0.55,322239,225783,96456,12334,1.3154,37.5904,18.666,21.4537,10.413,3.1169,5.5372,0.5604
AAPL,3/31/2019,58015,32031,13415,13793,11561,11561,16455,13415,18803,0.61,341998,236138,105860,-4954,1.3006,37.6127,19.9276,23.1233,10.921,3.3804,5.8966,0.4864
GOOGL,12/31/2023,86310,48735,23697,24412,20687,20687,25260,23697,13599,1.83,402392,119013,283379,-6654,2.0966,56.4651,23.9683,27.4557,7.3001,5.141,6.974,0.5713
GOOGL,9/30/2023,76693,43464,21343,21197,19689,19689,25143,21343,13571,1.45,396711,123509,273202,4773,2.0431,56.6727,25.6725,27.8291,7.2068,4.9631,6.8607,1.6805
GOOGL,6/30/2023,74604,42688,21838,21903,18368,18368,25235,21838,13643,1.35,383044,115903,267141,5,2.1721,57.2195,24.6207,29.2719,6.8758,4.7953,6.5402,1.6021
GOOGL,3/31/2023,69787,39175,17415,18205,15051,15051,20601,17415,13706,1.17,369491,108597,260894,4045,2.3526,56.1351,21.5671,24.9545,5.769,4.0734,5.4812,1.2564
GOOGL,12/31/2022,76048,40706,18160,17147,13624,13624,19908,18160,14046,1.14,365264,109120,256144,-105,2.378,53.5267,17.915,23.8797,5.6189,3.7299,5.0302,1.1261
GOOGL,9/30/2022,69092,37934,17135,16233,13910,13910,21181,17135,13982,1.06,358255,104629,253626,4048,2.5176,54.9036,20.1326,24.8003,5.4845,3.8827,5.1849,1.1702
GOOGL,6/30/2022,69685,39581,19453,19041,16002,16002,23352,19453,14126,1.13,355185,99766,255419,-2950,2.8095,56.7999,22.9633,27.9156,6.265,4.5053,5.9233,0.9004
GOOGL,3/31/2022,68011,38412,20094,18934,16436,16436,23876,20094,14242,1.23,357096,103092,254004,-59,2.871,56.4791,24.1667,29.5452,6.4708,4.6027,6.1147,1.0757
GOOGL,12/31/2021,75325,42337,21885,24402,20642,20642,23156,21885,14462,1.54,359268,107633,251635,-2774,2.9281,56.2058,27.4039,29.0541,8.2032,5.7456,7.747,1.2772
GOOGL,9/30/2021,65118,37497,21031,23064,18936,18936,24335,21031,14438,1.4,347403,102836,244567,89,2.98,57.5832,29.0795,32.2968,7.7427,5.4507,7.3153,1.3062
GOOGL,6/30/2021,61880,35653,19361,21985,18525,18525,22306,19361,14506,1.36,335387,97822,237565,-2992,3.152,57.6164,29.937,31.288,7.7979,5.5235,7.3543,1.1335
GOOGL,3/31/2021,55314,31211,16437,21283,17930,17930,19190,16437,14558,1.31,327095,97082,230013,157,3.1042,56.4251,32.4149,29.7158,7.7952,5.4816,7.3514,0.9168
